,Title,Link,Authors,Venue,Year,Study Period (per user),Study Period (per user) - DAYS,# Sessions (per user),# Sessions (per user) - INTEGER,Session Length (per session),Session Length (per session) - MINUTES,"Total average est. Minutes per person. INTEGER. If range, take midpoint to estimate.",# Participants (with full data),# Participants (with full data) - INTEGER,HRI Type (detailed),HRI Type,Domain (detailed),Domain,Subdomain,Robot Used,Primary Robot Feature(s),Country,Location (detailed),Location,Age (detailed),Age group (detailed),Age group,Qualitative Data (Y/N),"Quantitative (separable conditions, Y/N)","Quantitative (by user type, Y/N)",Data Collection for Machine Learning (Y/N),Statistical Significances Found (detailed),Statistical Significances Found (Y/N),Conditions (detailed),Conditions (Y/N),Behavioral Variation (detailed),Behavioral Variation (Y/N),Adaptation + Personalization (detailed),Adaptation + Personalization (Y/N),User modeling by robot (detailed),User modeling by robot (Y/N),WoZ / Autonomous / Hybrid (detailed),WoZ / Autonomous / Hybrid,Main results,Measure Engag.? (with robot) - detailed,"Measure Engag.? (with robot, Y/N)",Engagement Measures + Results (detailed),Engagement Measures Type,Novelty Effect measures or mentioned? (Y/N),Novelty Comments/Methods,Incentivization (detailed),Comments
KM,Autonomous Mobile Gait Training Robot for Orthopedic Rehabilitation in a Clinical Environment,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9223482,T. Q. Trinh; A. Vorndran; B. Schuetz; B. Jaeschke; A. Mayfarth; A. Scheidig; H. -M. Gross,RO-MAN,2020,2-4 days,3,4.6,5,5-10min,7,35,20,20,Diadic,Diadic,Health + Wellness,Physical Health,Rehabilitation,Patterns,"During the training session, the robotic gait coach leads its current patient by a certain constant distance in order to continuously ensure sufficient sensor coverage of the patient [22] (see Sec. III-B). By analyzing the user’s skeleton while walking, several gait features are extracted and rated by a rule-based classifier [23]. If a gait deviation is detected, the robotic coach gives speech- and GUI-based feedback to the patient.",Germany,ortho Hospital post-op ,Hospital,55- 75 years old,Elderly,Elderly (above 65),Y,N,Y,N,No,N,N/A,N,No,N,No,N,No,N,Autonomous,Autonomous,"lmost all patients felt safe and motivated using the robot, indicating that the performance of our user-centered navigation and user perception reached a level where an autonomous training is possible most of the time. Concerning navigation and person perception, further improvements are still needed for a fully autonomous training",No,N,No,None,N,,Unknown,"we could only guarantee two days
of successive training for all patients taking part in the
study."
KM,Designing a Socially Assistive Robot for Long-Term In-Home Use for Children with Autism Spectrum Disorders,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8956468,R. Pakkar; C. Clabaugh; R. Lee; E. Deng; M. J. Mataricć,RO-MAN,2019,30 days,30,unknown,unknown,unknown,unknown,unknown,8 children across 6 family homes,8,Diadic; Family,Mixed,Education,ASD,ASD,Kiwi,"Plays 10 education games (number concepts and social skills) with children with ASD, at varying difficulty levels, with positive/constructive feedback.",USA,Home,Home,Children,Children,Children (3-12),Y,N,Y,N,No,N,No,N,"Games ranged in difficulty based on child need, but unclear how determined",Y,No,N,No,N,Autonomous,Autonomous,"Most children liked Kiwi and many saw improvements in skills, though some were scared or found the games too difficult. Also the hardware must be robust for long term CHRI deployments, and persnoalization is key for ASD population.",n,N,n/a,None,N,,Unknown,"Serious lack of details on experimental design -- partiicpant ages, incentives, how long interacted with robot, # sessions etc."
KM,"Mood Estimation as a Social Profile Predictor in an Autonomous, Multi-Session, Emotional Support Robot for Children",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8956460,E. Gamborino; H. -P. Yueh; W. Lin; S. -L. Yeh; L. -C. Fu,RO-MAN,2019,5 days,5,5,5,10,10,50,14,14,Diadic,Diadic,Entertainment,Entertainment/Game-Play,Affect Recognition + Influence,ROBOHON,"We defined six types of selectable interactions in this iteration of the system: joke, riddle, chit-chat, tale, dance and video. Inside each category, there were on average ten different interactions for the robot to choose from. The robot would not repeat the same single interaction twice with a given user. Each interaction included a predefined set of sentences for the robot to speak out.",Taiwan,"""taken out of classroom to a separate location",Lab,Elementary school. Avg = 10.7,Children,Children (3-12),Y,Y,Y,Y,"No, did not pursue because of small sample size",N,Yes,Y,yes - either through IRL or random selection of game type,Y,"Yes - in the control group, the robot selected what it thought would be the users preference based on facial and posture cue for mood",Y,yes -- used q learning and stored values?,Y,Autonomous,Autonomous,"Using IRL method for choosing activites based on mood estimation from posture and facial expression is better, has higher rewrads and less variance than random policy.",Maybe -- measuring mood,Y,Measuring mood estimates increases rewards with IRL (from facial expression and body pose from CV),"Model from Sensors (CV, audio, etc.)",N,,Voluntary as part of a 5-day robotics summer course,This is a very well written paper.
KM,Humanoid co-workers: How is it like to work with a robot?,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8956421,A. Vishwanath; A. Singh; Y. H. V. Chua; J. Dauwels; N. Magnenat-Thalmann,RO-MAN,2019,1 month,30,unknown,unknown,unknown,unknown,unknown,12,12,Observer,Observer,Service Robotics,Service/Workplace,Receptionist,Nadine,"answering FAQ about a company's offerings, looking things up online, starting skype calls, emails, general conversation. Has facial recognition, gesture reconition, hand post estimatine, dialogue manager, behavior tree.",unknown,Office,Office,Unknown (assumed adult age),Employees,Adults (18+),Y,N,Y,N,Yes (for some survey responses),Y,No,N,"Many different tasks appropriate for an office, not a diadic relationship so less important.",Y,"Many different tasks appropriate for an office, not a diadic relationship so less important.",Y,No,N,Autonomous,Autonomous,"""• The productivity of the staff did not change due to the restricted number of functionalities of the humanoid.
• The staff exhibited an overall positive affect (Inspired,
Active, Attentive) during their interaction with Nadine.
• After understanding the working of Nadine, they did not feel threatened about losing their jobs; instead, they highlighted that more social robots were needed
to perform menial tasks in the service centre.""",No,N,N/A,None,N,,Unknown,This seems like this robot is doing a lot! Would have liked to know more about its architecture and fidelity.
KM,Use of Autobiographical Memory for Enhancing Adaptive HRI in Multi-User Domestic Environment,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8525689,M. M. S. N. Edirisinghe; A. G. B. P. Jayasekara,RO-MAN,2018,1 week,7,unknown,unknown,unknown,unknown,unknown,4,4,"Diadic, Family",Mixed,Home Use,General Purpose,User Preferences,unknown,"The robot generally converses with indiviauls and has internal language processing and dialogue generation. It's goal is to learn rules-based user preferences about food and beverages accross family members/groups. AM (audobiographical memory) is the primary contribution, with self, people, and event layers. This memorys makes it possible to aquire family associations/relationships and have episodic memory.",Sri Lanka,Fake Private Apartment,Lab,22 - 56,General,Mixed,Y,N,Y,N,No,N,No,N,"Not over time, but service-oriented with different tasks and not necessarily needed. Want expected service.",N,Yes,Y,Maybe -- had a model of relationships and people?,Y,Autonomous,Autonomous,The experimental results verify the potential of the system in providing adaptive services while learning user’s preferences through natural interactions.,No,N,N/A,None,N,,Unknown,"""During the experiments, users were asked to wear a wireless headset with a microphone to increase the voice recognition accuracy.""

""The beverage selection is assumed to be affected by the weather condition, user’s health condition and the time, while snack selection is affected by user’s health condition and hunger."""
KM,Talk to Me: The Role of Human-Robot Interaction in Improving Verbal Communication Skills in Students with Autism or Intellectual Disability,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8525698,D. Silvera-Tawil; D. Bradford; C. Roberts-Yates,RO-MAN,2018,24 months,280,"Multiple per week, varies (est. 2 per week for 40 weeks per school year)",160,30 - 45 min,38,6080,28 (though only presenting on 3 case studies),3,"Group, Diadic",Mixed,Education,ASD,ASD,NAO,"The robots were scripted by staff members and were used by small groups of childrent to facilitate turn taking and social behaviors while playing games, performing role playing, asking questions etc.",Australia,School,School,13 - 14 for the case study (13 - 19 for all users),Teens/Young Adults,Teens (13-17),Y,N,N,N,No,N,No,N,"Yes - ""students were exposed to progressions of experiential learning with multiple levels of engagement.""",Y,"Maybe -- group based, but progressed through different levels.",Y,No,N,Autonomous,Autonomous,"These three case studies demonstrate that teachers, carers and parents perceive robots to be facilitators in communi- cation skill acquisition, particularly for articulation, spon- taneous conversation and verbal participation. The three students became more confident and willing to engage in conversation after interacting with the robot over a period of time. [...] For some students, progress was more marked than for others, and the acquired skills were relative to, and dependent on, the cognitive ability of the student.",No,N,N/A,None,N,,Unknown,"The same study is used for a different paper that analyzes the responses of parents and teachers: ""Socially-Assistive Robots to Enhance Learning for Secondary Students with Intellectual Disabilities and Autism"". 

Also, low socioeconomic area"
KM,The Outcome of a Week of Intensive Cognitive Stimulation in an Elderly Care Setup: A Pilot Test,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8525533,R. Agrigoroaie; A. Tapus,RO-MAN,2018,4 days,4,8,8,Unknown,unknown,unknown,1,1,Diadic,Diadic,Health + Wellness,Mental/Cognitive Health,Elder Care,Tiago,"Each session had: relaxation, game, news reading. Cognitive games of two different difficulties: digit cancellation, integer matrix task, and the Stroop game.",Europe,Home,Home,69,Seniors,Elderly (above 65),N,N,Y,N,"Yes analyzed for survey measurs, but very limited to the point where I might say ""No""",Y,No,N,Maybe -- various games and two difficulty levels over a short period of time.,Y,No,N,No,N,Autonomous,Autonomous,"Found some evidence for improvements in performance with cognitive games over time. Compared time to finish with difficulty level and time of day, as well as when the user went from easy to hard.",No,N,N/A,None,Y,,Unknown,Not really sure there is a strong contribution here
KM,Socially-Assistive Robots to Enhance Learning for Secondary Students with Intellectual Disabilities and Autism,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8525743,D. Silvera-Tawil; C. R. -. Yates,RO-MAN,2018,5 months,150,unknown,unknown,unknown,unknown,unknown,"FOR THE FOCUS GROUP: six parents/carers, six
teachers, and six additional staff members; QUESTIONNAIRE: A total of 27 questionnaires were completed. Seventeen by staff members (NAO = 10; PARO = 7), and ten by parents/carers (NAO = 6, PARO = 4).",45,Observer; Caregiver; Family,Observer,Education,ASD,ASD,NAO and Paro,Nao reinforced learning curriculum,Australia,School,School,Unknown ('staff and caregivers',Staff and caregivers observing children using the robots,Adults (18+),Y,N,Y,N,No,N,N/A,N,"yes, not the same activity each day",Y,No,N,No,N,Autonomous,Autonomous,"Overall, all participants responded positively toward the use of robots and would recommend other schools to use them",No,N,No,None,N,,Unknown,
KM,Predicting Response to Joint Attention Performance in Human-Human Interaction Based on Human-Robot Interaction for Young Children with Autism Spectrum Disorder,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8525634,G. Nie; Z. Zheng; J. Johnson; A. R. Swanson; A. S. Weitlauf; Z. E. Warren; N. Sarkar,RO-MAN,2018,unknown,unknown,1st study: 4; 2nd study: 6,5,Unknown,unknown,unknown,14 study 1; 20 study 2,34,Diadic,Diadic,ASD,ASD,ASD,NAO,"A NAO robot stood in front of the participant chair, performing deictic gestures to initiate the joint attention task.",unknown,Lab,Lab,"1.6 - 4.57 (M = 2.66, SD = .54)",Children,Children (3-12),N,N,N,Y,N/A,N,Yes - immediate vs. wait group,Y,No,N,No,N,No,N,Autonomous,Autonomous,N/A,N/A,N,N/A,None,N,,Unknown,
KM,Prototyping realistic long-term human-robot interaction for the study of agent migration,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7745212,K. L. Koay; D. S. Syrdal; W. C. Ho; K. Dautenhahn,RO-MAN,2016,5 weeks,35,10,10,30-60min,45,450,9,9,Diadic,Diadic,General HRI,General Purpose,Agent Migration,Sunflower,"Navigates around house, carries objects, suggestions for food/beverage, etc.",UK,Mock Smart House,Lab,21-32,College Students,Adults (18+),Y,N,Y,Y,Yes for surveys,Y,n/a,N,"Somewhat -- 5 different scenarios played out, different per session",Y,No,N,No,N,Autonomous (with Facilitator present),Autonomous,"Migration realization increased as the study progressed, qual factors for identity retention (may not be migration realization).",No,N,N/a,None,N,,Unknown,
KM,How to train your DragonBot: Socially assistive robots for teaching children about nutrition through play,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6926371,E. Short; K. Swift-Spong; J. Greczek; A. Ramachandran; A. Litoiu; E. C. Grigore; D. Feil-Seifer; S. Shuster; J. J. Lee; S. Huang; S. Levonisova; S. Litz; J. Li; G. Ragusa; D. Spruijt-Metz; M. Matarić; B. Scassellati,RO-MAN,2014,3 weeks,21,6,6,5-10min,7.5,45,26,26,Diadic,Diadic,Health and Wellness,Physical Health,Healthy Eating,Dragonbot,Teaching healthy eating,USA,School,School,5- 8,Children,Children (3-12),N,N,Y,Y,Yes,Y,No,N,"Yes, different educational content each time",Y,No,N,No,N,WOZ,WoZ,"Children retain positive perception of robot over 3 weeks, increase engagment, and may be developing a relationship, though no strong learning gains about health food behaviors.",Yes,Y,Mean response time. Engagement increases over time based on a descrease in response time.,"Time-Based (time to respond, length of interactions)",N,,Unknown,
KM,A robot as fitness companion: Towards an interactive action-based motivation model,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6926267,L. Süssenbach; N. Riether; S. Schneider; I. Berger; F. Kummert; I. Lütkebohle; K. Pitsch,RO-MAN,2014,18 days,18,18,18,50 min,50,900,16,16,Diadic,Diadic,Health and Wellness,Physical Health,Exercise,NAO,motivational conversation script for exercise bike,Germany,Lab,Lab,23.26,General,Adults (18+),Y,Y,Y,N,Yes,Y,Yes,Y,"Yes, reacted to individual performance",Y,Within session -- adapts based on performance,Y,No,N,Autonomous,Autonomous,"""the initial analyses suggest that the interaction with the robot led to better training effects, more intensive workouts and also higher training motivation.""",No,N,N/A,None,N,,Monetary compensation,
KM,Robot therapy at facilities for the elderly in Kanagawa prefecture - a report on the experimental result of the first month,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6926252,K. Wada; Y. Takasawa; T. Shibata,RO-MAN,2014,1 month,30,unknown,unknown,unknown,unknown,unknown,"89, but only 64 with data",64,Diadic,Diadic,Health and Wellness,Mental/Cognitive Health,Dimensia,Paro,paro interactions,Japan,Senior Home,Care Home,86.5 +/- 6.7,Seniors,Elderly (above 65),Y,N,Y,N,No,N,No,N,Yes,Y,"Yes, uses RL based on pos/neg types of inputs from users",Y,No,N,Autonomous,Autonomous,"""This result suggests the effects of PARO on patients with dementia persist for a month.""",No,N,N/A,None,N,,Unknown (unlikely directly to participant though),This is the same study as the other paper that looks at the first month vs. the first week -- should they both count?
KM,Graded cueing feedback in robot-mediated imitation practice for children with autism spectrum disorders,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6926312,J. Greczek; E. Kaszubski; A. Atrash; M. Matarić,RO-MAN,2014,2.5 weeks,18,5,5,15 min,15,75,12,12,Diadic,Diadic,ASD,ASD,ASD,NAO,"Playing ""copy cat"" game",USA,School,School,7-10 years,Children,Children (3-12),Y,Y,N,N,No,N,Yes,Y,"Sort of -- interactions vary, but the model doesn't change between sessions",Y,"In the adaptive group, the robot recieved ""graded cueing"" feedback",Y,No,N,Autonomous,Autonomous,"""The results of this study suggest that varied feedback may be more effective, and less frustrating, than fully descriptive feedback in a child-robot imitation game for children with ASD.""",No,N,N/A,None,N,,Unknown (unlikely directly to participant though),
KM,A drop-out rate in a long-term cognitive rehabilitation program through robotics aimed at children with TBI,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6926251,A. Barco; J. Albo-Canals; C. Garriga-Berga; X. Vilasís-Cardona; L. Callejón; M. Turón; C. Gómez; A. López-Sala,RO-MAN,2014,6 months,180,"Daily, M-F",120,1 hr -- up to a total of 120 hrs (assuming they were 100% compliant),60,3600,"43 control (no intervention), 22 parents group (parents encourage), 15 robots group",15,Diadic,Diadic,Health and Wellness,Mental/Cognitive Health,Rehabilitation,Lego,"games on the phone screen for skills development for kids with traumatic brain injuries around memory, inhibition, and goal setting. ",Spain,Home,Home,8-17 years,Children; Teens,Mixed,N,Y,Y,N,No,N,Yes,Y,Yes -- therapists pick different programs for the kids each week,Y,Sort of -- driven by therapists not robot,N,No,N,Autonomous,Autonomous,"""From the results presented in the previous section above
we can conclude that that the drop-out rate is less in the
robot group than in the parents group.""",Sort off -- drop off,Y,Drop-out rate,Drop Out Rate (from sessions or free use),Y,,Uknown,
